Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR12223731_SRP271933_Undaria_pinnatifida_individual_17_2017-01-09_INTRO_NZ_Well2017_3_New_Zealand_1	SRR12223731_SRP271933_Undaria_pinnatifida_individual_17_2017-01-09_INTRO_NZ_Well2017_3_New_Zealand_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	105680022.0	0.0	101.0	48.0	80.77881238034448	101.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SRR12223731_SRP271933_Undaria_pinnatifida_individual_17_2017-01-09_INTRO_NZ_Well2017_3_New_Zealand_2	SRR12223731_SRP271933_Undaria_pinnatifida_individual_17_2017-01-09_INTRO_NZ_Well2017_3_New_Zealand_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	105680022.0	0.0	101.0	48.0	80.47755891434124	101.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SRR12223732_SRP271933_Undaria_pinnatifida_individual_16_2017-01-09_INTRO_NZ_Well2017_2_New_Zealand_1	SRR12223732_SRP271933_Undaria_pinnatifida_individual_16_2017-01-09_INTRO_NZ_Well2017_2_New_Zealand_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	81641741.0	0.0	101.0	48.0	74.05214773072757	101.0	pass	pass	fail	pass	pass	pass	pass	pass	pass	warn	pass
SRR12223732_SRP271933_Undaria_pinnatifida_individual_16_2017-01-09_INTRO_NZ_Well2017_2_New_Zealand_2	SRR12223732_SRP271933_Undaria_pinnatifida_individual_16_2017-01-09_INTRO_NZ_Well2017_2_New_Zealand_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	81641741.0	0.0	101.0	48.0	75.72227186975098	101.0	pass	pass	warn	pass	pass	pass	pass	pass	pass	warn	pass
SRR12223733_SRP271933_Undaria_pinnatifida_individual_15_2017-01-09_INTRO_NZ_Well2017_1_New_Zealand_1	SRR12223733_SRP271933_Undaria_pinnatifida_individual_15_2017-01-09_INTRO_NZ_Well2017_1_New_Zealand_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	104447851.0	0.0	101.0	48.0	81.76845000865877	101.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SRR12223733_SRP271933_Undaria_pinnatifida_individual_15_2017-01-09_INTRO_NZ_Well2017_1_New_Zealand_2	SRR12223733_SRP271933_Undaria_pinnatifida_individual_15_2017-01-09_INTRO_NZ_Well2017_1_New_Zealand_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	104447851.0	0.0	101.0	48.0	82.28114528368162	101.0	pass	warn	pass	pass	pass	pass	pass	pass	pass	pass	pass
SRR12223734_SRP271933_Undaria_pinnatifida_individual_14_1987-08-14_INTRO_NZ_Well1987_2_New_Zealand_1	SRR12223734_SRP271933_Undaria_pinnatifida_individual_14_1987-08-14_INTRO_NZ_Well1987_2_New_Zealand_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	144328470.0	0.0	101.0	43.0	58.130716733717016	101.0	pass	pass	pass	pass	pass	warn	pass	pass	warn	warn	pass
SRR12223734_SRP271933_Undaria_pinnatifida_individual_14_1987-08-14_INTRO_NZ_Well1987_2_New_Zealand_2	SRR12223734_SRP271933_Undaria_pinnatifida_individual_14_1987-08-14_INTRO_NZ_Well1987_2_New_Zealand_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	144328470.0	0.0	101.0	43.0	59.936452570209084	101.0	pass	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass
SRR12223735_SRP271933_Undaria_pinnatifida_individual_13_1987-08-14_INTRO_NZ_Well1987_1_New_Zealand_1	SRR12223735_SRP271933_Undaria_pinnatifida_individual_13_1987-08-14_INTRO_NZ_Well1987_1_New_Zealand_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	140473243.0	0.0	101.0	45.0	54.800580190898415	101.0	pass	pass	pass	pass	pass	warn	pass	pass	warn	warn	fail
SRR12223735_SRP271933_Undaria_pinnatifida_individual_13_1987-08-14_INTRO_NZ_Well1987_1_New_Zealand_2	SRR12223735_SRP271933_Undaria_pinnatifida_individual_13_1987-08-14_INTRO_NZ_Well1987_1_New_Zealand_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	140473243.0	0.0	101.0	45.0	56.15680830440838	101.0	pass	pass	pass	pass	pass	warn	pass	pass	warn	warn	fail
SRR12223736_SRP271933_Undaria_pinnatifida_individual_12_2016-01-12_INTRO_NZ_Lyall_2_New_Zealand_1	SRR12223736_SRP271933_Undaria_pinnatifida_individual_12_2016-01-12_INTRO_NZ_Lyall_2_New_Zealand_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	219230142.0	0.0	101.0	47.0	75.04738928478758	101.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
SRR12223736_SRP271933_Undaria_pinnatifida_individual_12_2016-01-12_INTRO_NZ_Lyall_2_New_Zealand_2	SRR12223736_SRP271933_Undaria_pinnatifida_individual_12_2016-01-12_INTRO_NZ_Lyall_2_New_Zealand_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	219230142.0	0.0	101.0	48.0	85.30979469858303	101.0	pass	warn	warn	pass	fail	pass	pass	pass	pass	pass	pass
SRR12223737_SRP271933_Undaria_pinnatifida_individual_11_2016-01-12_INTRO_NZ_Lyall_1_New_Zealand_1	SRR12223737_SRP271933_Undaria_pinnatifida_individual_11_2016-01-12_INTRO_NZ_Lyall_1_New_Zealand_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	217392167.0	0.0	101.0	47.0	76.5027759520437	101.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
SRR12223737_SRP271933_Undaria_pinnatifida_individual_11_2016-01-12_INTRO_NZ_Lyall_1_New_Zealand_1_U	SRR12223737_SRP271933_Undaria_pinnatifida_individual_11_2016-01-12_INTRO_NZ_Lyall_1_New_Zealand_1_U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42521692.0	0.0	50-101	48.0	89.91455070222692	93.84769552443962	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
SRR12223737_SRP271933_Undaria_pinnatifida_individual_11_2016-01-12_INTRO_NZ_Lyall_1_New_Zealand_2	SRR12223737_SRP271933_Undaria_pinnatifida_individual_11_2016-01-12_INTRO_NZ_Lyall_1_New_Zealand_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	217392167.0	0.0	101.0	47.0	85.20431211688481	101.0	pass	pass	warn	pass	fail	pass	pass	pass	pass	pass	pass
SRR12223737_SRP271933_Undaria_pinnatifida_individual_11_2016-01-12_INTRO_NZ_Lyall_1_New_Zealand_2_U	SRR12223737_SRP271933_Undaria_pinnatifida_individual_11_2016-01-12_INTRO_NZ_Lyall_1_New_Zealand_2_U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5272652.0	0.0	50-101	46.0	97.15950461912146	89.42590559741095	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR12223738_SRP271933_Undaria_pinnatifida_individual_2_2016-04-19_INTRO_Fr_Roscoff_2_France_1	SRR12223738_SRP271933_Undaria_pinnatifida_individual_2_2016-04-19_INTRO_Fr_Roscoff_2_France_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	113172780.0	0.0	101.0	48.0	83.39037763475409	101.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SRR12223738_SRP271933_Undaria_pinnatifida_individual_2_2016-04-19_INTRO_Fr_Roscoff_2_France_2	SRR12223738_SRP271933_Undaria_pinnatifida_individual_2_2016-04-19_INTRO_Fr_Roscoff_2_France_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	113172780.0	0.0	101.0	47.0	88.79986665667133	101.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
SRR12223739_SRP271933_Undaria_pinnatifida_individual_1_2016-04-19_INTRO_Fr_Roscoff_1_France_2	SRR12223739_SRP271933_Undaria_pinnatifida_individual_1_2016-04-19_INTRO_Fr_Roscoff_1_France_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33846818.0	0.0	101.0	48.0	92.26119155224818	101.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SRR12750384_SRP271933_Undaria_pinnatifida__2015-01-23_Undaria_pinnatifida_gDNA_GCCAAT_L007_South_Korea_1	SRR12750384_SRP271933_Undaria_pinnatifida__2015-01-23_Undaria_pinnatifida_gDNA_GCCAAT_L007_South_Korea_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	141372659.0	0.0	101.0	48.0	85.06991184637111	101.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
SRR12750384_SRP271933_Undaria_pinnatifida__2015-01-23_Undaria_pinnatifida_gDNA_GCCAAT_L007_South_Korea_2	SRR12750384_SRP271933_Undaria_pinnatifida__2015-01-23_Undaria_pinnatifida_gDNA_GCCAAT_L007_South_Korea_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	141372659.0	0.0	101.0	48.0	86.68466140393647	101.0	pass	pass	warn	pass	pass	pass	pass	pass	pass	pass	pass
